seconds,nanosecs,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
1666727424,996074558,-250.0,-250.0,-250.0,-250.0,-150.2932586669922,-248.0449676513672,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727425,195074558,-250.0,-250.0,-250.0,-250.0,-165.9335479736328,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727425,394074558,-250.0,-250.0,-250.0,-250.0,-171.79864501953125,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727425,594074558,-226.5395965576172,-68.18181610107422,-39.833831787109375,-249.02249145507812,-156.15835571289062,-74.04692077636719,-172.77615356445312,-250.0,-250.0,-66.2267837524414,-206.01173400878906,-249.02249145507812,-81.8670654296875,-63.29423141479492,-250.0,-250.0
1666727425,793074558,-228.49462890625,-234.35972595214844,-76.001953125,-47.653961181640625,-180.59628295898438,-250.0,-71.11437225341797,-225.56207275390625,-250.0,-76.9794692993164,-47.653961181640625,-248.0449676513672,-195.25904846191406,-63.29423141479492,-250.0,-250.0
1666727425,992074558,-231.4271697998047,-250.0,-70.13685607910156,-63.29423141479492,-152.248291015625,-234.35972595214844,-68.18181610107422,-211.8768310546875,-250.0,-70.13685607910156,-63.29423141479492,-247.0674591064453,-220.67449951171875,-70.13685607910156,-245.1124267578125,-235.3372344970703
1666727426,192074558,-250.0,-250.0,-250.0,-250.0,-186.46139526367188,-249.02249145507812,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727426,392074558,-250.0,-250.0,-250.0,-250.0,-181.5738067626953,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727426,593074558,-250.0,-250.0,-250.0,-250.0,-181.5738067626953,-248.0449676513672,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-245.1124267578125
1666727426,792843082,-250.0,-250.0,-250.0,-250.0,-179.6187744140625,-250.0,-250.0,-136.60801696777344,-101.41740417480469,-95.55230712890625,-88.70967864990234,-96.52982330322266,-95.55230712890625,-95.55230712890625,-241.20236206054688,-104.3499526977539
1666727426,992843082,-250.0,-250.0,-250.0,-250.0,-181.5738067626953,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727427,190843082,-89.68719482421875,-98.48485565185547,-211.8768310546875,-250.0,-68.18181610107422,-98.48485565185547,-94.57479095458984,-209.9217987060547,-187.43890380859375,-100.43988800048828,-99.46237182617188,-145.40567016601562,-242.17987060546875,-105.32746887207031,-236.31475830078125,-192.32650756835938
1666727427,390843082,-250.0,-250.0,-250.0,-250.0,-178.64125061035156,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727427,590843082,-94.57479095458984,-235.3372344970703,-250.0,-105.32746887207031,-52.541542053222656,-69.15933990478516,-242.17987060546875,-101.41740417480469,-98.48485565185547,-223.60704040527344,-250.0,-101.41740417480469,-98.48485565185547,-220.67449951171875,-218.71946716308594,-117.05767059326172
1666727427,788843082,-94.57479095458984,-239.24732971191406,-250.0,-105.32746887207031,-157.1358642578125,-242.17987060546875,-124.87781524658203,-109.23754119873047,-211.8768310546875,-250.0,-250.0,-101.41740417480469,-207.96676635742188,-250.0,-234.35972595214844,-82.8445816040039
1666727427,988843082,-204.05670166015625,-250.0,-250.0,-101.41740417480469,-82.8445816040039,-243.1573944091797,-250.0,-98.48485565185547,-243.1573944091797,-242.17987060546875,-124.87781524658203,-98.48485565185547,-243.1573944091797,-246.08993530273438,-246.08993530273438,-73.06940460205078
1666727428,188843082,-39.833831787109375,-250.0,-250.0,-76.001953125,14.907145500183105,-221.65200805664062,-117.05767059326172,-70.13685607910156,-240.22483825683594,-218.71946716308594,-70.13685607910156,-63.29423141479492,-233.3822021484375,-250.0,-250.0,-63.29423141479492
1666727428,387843082,-250.0,-77.95698547363281,-63.29423141479492,-237.29229736328125,-124.87781524658203,-76.001953125,-53.51905822753906,-242.17987060546875,-89.68719482421875,-70.13685607910156,-236.31475830078125,-222.62953186035156,-74.04692077636719,-71.11437225341797,-250.0,-250.0
1666727428,586843082,-242.17987060546875,-74.04692077636719,-47.653961181640625,-247.0674591064453,-171.79864501953125,-76.001953125,-33.968711853027344,-249.02249145507812,-250.0,-74.04692077636719,-243.1573944091797,-230.4496612548828,-76.001953125,-243.1573944091797,-250.0,-109.23754119873047
1666727428,786843082,-144.42816162109375,-76.001953125,-244.13490295410156,-242.17987060546875,-45.69892883300781,-63.29423141479492,-247.0674591064453,-250.0,-74.04692077636719,-196.236572265625,-250.0,-77.95698547363281,-63.29423141479492,-230.4496612548828,-218.71946716308594,-83.82209777832031
1666727428,900843082,-85.77713012695312,-85.77713012695312,-190.3714599609375,-238.26980590820312,-46.67644500732422,-71.11437225341797,-231.4271697998047,-250.0,-77.95698547363281,-75.0244369506836,-243.1573944091797,-250.0,-77.95698547363281,-63.29423141479492,-250.0,-250.0
1666727429,103843082,-187.43890380859375,-70.13685607910156,-63.29423141479492,-250.0,-210.89930725097656,-76.9794692993164,-207.96676635742188,-250.0,-85.77713012695312,-47.653961181640625,-230.4496612548828,-124.87781524658203,-78.93450164794922,-244.13490295410156,-250.0,-81.8670654296875
1666727429,303505876,-109.23754119873047,-106.30499267578125,-188.4164276123047,-226.5395965576172,-74.04692077636719,-104.3499526977539,-231.4271697998047,-250.0,-99.46237182617188,-75.0244369506836,-250.0,-113.1476058959961,-105.32746887207031,-250.0,-246.08993530273438,-188.4164276123047
1666727429,502505876,-101.41740417480469,-93.59727478027344,-93.59727478027344,-99.46237182617188,-59.3841667175293,-88.70967864990234,-89.68719482421875,-95.55230712890625,-80.88953399658203,-250.0,-226.5395965576172,-93.59727478027344,-105.32746887207031,-243.1573944091797,-250.0,-101.41740417480469
1666727429,701505876,-250.0,-250.0,-250.0,-250.0,-178.64125061035156,-242.17987060546875,-250.0,-250.0,-250.0,-247.0674591064453,-248.0449676513672,-250.0,-250.0,-250.0,-249.02249145507812,-246.08993530273438
1666727429,901505876,-250.0,-250.0,-250.0,-250.0,-173.75367736816406,-242.17987060546875,-250.0,-250.0,-246.08993530273438,-243.1573944091797,-243.1573944091797,-249.02249145507812,-249.02249145507812,-250.0,-250.0,-246.08993530273438
1666727430,101505876,-109.23754119873047,-200.14663696289062,-249.02249145507812,-250.0,-66.2267837524414,-94.57479095458984,-249.02249145507812,-250.0,-93.59727478027344,-78.93450164794922,-250.0,-234.35972595214844,-91.64222717285156,-64.2717514038086,-250.0,-230.4496612548828
1666727430,299505876,-65.249267578125,-235.3372344970703,-250.0,-74.04692077636719,-63.29423141479492,-209.9217987060547,-101.41740417480469,-62.316715240478516,-125.85533142089844,-243.1573944091797,-62.316715240478516,-59.3841667175293,-198.1916046142578,-222.62953186035156,-218.71946716308594,-67.20429992675781
1666727430,448505876,-239.24732971191406,-240.22483825683594,-250.0,-250.0,-161.0459442138672,-232.40469360351562,-238.26980590820312,-249.02249145507812,-250.0,-250.0,-249.02249145507812,-241.20236206054688,-244.13490295410156,-250.0,-250.0,-250.0
1666727430,647505876,-190.3714599609375,-214.8094024658203,-77.95698547363281,-43.743896484375,-159.0908966064453,-250.0,-32.01367950439453,-192.32650756835938,-242.17987060546875,-60.3616828918457,-236.31475830078125,-207.96676635742188,-62.316715240478516,-47.653961181640625,-224.58456420898438,-218.71946716308594
1666727430,847505876,-250.0,-250.0,-250.0,-250.0,-178.64125061035156,-246.08993530273438,-244.13490295410156,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
1666727431,17505876,-214.8094024658203,-152.248291015625,-55.474090576171875,-237.29229736328125,-187.43890380859375,-82.8445816040039,-32.01367950439453,-235.3372344970703,-250.0,-75.0244369506836,-235.3372344970703,-222.62953186035156,-81.8670654296875,-65.249267578125,-250.0,-242.17987060546875
1666727431,217505876,-250.0,-246.08993530273438,-242.17987060546875,-246.08993530273438,-191.34898376464844,-248.0449676513672,-250.0,-247.0674591064453,-243.1573944091797,-250.0,-248.0449676513672,-249.02249145507812,-250.0,-242.17987060546875,-246.08993530273438,-248.0449676513672
1666727431,415505876,-250.0,-93.59727478027344,-71.11437225341797,-242.17987060546875,-187.43890380859375,-100.43988800048828,-63.29423141479492,-249.02249145507812,-250.0,-85.77713012695312,-227.51710510253906,-250.0,-138.56304931640625,-92.61974334716797,-250.0,-250.0
1666727431,618505876,-250.0,-74.04692077636719,-47.653961181640625,-250.0,-203.0791778564453,-72.09188842773438,-237.29229736328125,-238.26980590820312,-124.87781524658203,-67.20429992675781,-219.6969757080078,-247.0674591064453,-85.77713012695312,-78.93450164794922,-239.24732971191406,-242.17987060546875
1666727431,775904233,-250.0,-77.95698547363281,-227.51710510253906,-250.0,-66.2267837524414,-47.653961181640625,-228.49462890625,-76.001953125,-36.90126037597656,-221.65200805664062,-187.43890380859375,-80.88953399658203,-43.743896484375,-232.40469360351562,-250.0,-86.75464630126953
1666727431,974904233,-82.8445816040039,-131.72044372558594,-247.0674591064453,-77.95698547363281,-33.968711853027344,-231.4271697998047,-250.0,-67.20429992675781,-223.60704040527344,-242.17987060546875,-85.77713012695312,-219.6969757080078,-234.35972595214844,-93.59727478027344,-209.9217987060547,-239.24732971191406
